tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt0268202,Bruce Lee and Kung Fu Mania,1992.0,"['Action', 'Documentary']","['nm0033717', 'nm0155578', 'nm0156955', 'nm0473314', 'nm0297143']",85.0,6.3,,,65.0,,,
tt0268528,Butterfly and Flowers,1985.0,"['Adventure', 'Crime', 'Drama']","['nm5329583', 'nm0690422', 'nm2716018', 'nm5329157']",120.0,7.6,Thai Pak Tai,Thailand,112.0,,,The hardships faced by a boy who works selling popsicles at the local train station and forced by economic circumstance to smuggle rice across the Thai-Malaysian border
tt0268877,By Hook or by Crook,1986.0,"['Action', 'Crime', 'Mystery']","['nm0408476', 'nm0655765', 'nm0745495', 'nm0535761', 'nm0017853']",94.0,5.1,,,27.0,,,
tt0269009,Body Guards - Guardie del corpo,2000.0,['Comedy'],"['nm0211565', 'nm0885051', 'nm0092789', 'nm0412862', 'nm0759434']",94.0,4.1,Italian,Italy,1069.0,,,"Fabio Leone and Paolo Pecora are two police officers of Rome who, together with the careless Neapolitan Ciro Marmotta, are fired from the barracks to have scuppered the plan to capture a secret agent. Fortunately the three friends manage to enlist in a guardhouse more specialized, which involves the VIPs protection in Italy and foreign countries, on a visit to Rome. But the three friends, who now also joined Romolo: the scullion of the bodyguards' association, always combine a lot of troubles."
tt0269025,Buenos Aires plateada,2000.0,['Drama'],"['nm0527045', 'nm0826312', 'nm0246697', 'nm0130335', 'nm0043389']",74.0,,Spanish,Argentina,,,,"A television director has made the initial chapter of a TV series based on his own life history and wants to put it to the air. For it he looks for the support of two old friends, with whom he once a politician and held an important position in the government in the past. But they have other stronger commitments and the program pilot does not excite them. He then puts then in scene a history where nothing is what it seems."
tt0269027,Bukak Api,2000.0,"['Documentary', 'Drama']",[],80.0,8.0,,,30.0,,,
tt0269029,Bulldozer,1974.0,[],"['nm0239808', 'nm0529698', 'nm0683603', 'nm0820341']",93.0,5.1,,,29.0,,,
tt0269034,Burai heiya,1995.0,['Drama'],"['nm1100488', 'nm0762965', 'nm0437126', 'nm0465531', 'nm0948939']",99.0,,,,,,,
tt0270253,"Braços Cruzados, Máquinas Paradas",1979.0,['Documentary'],['nm0060584'],76.0,8.0,,,43.0,,,
tt0270261,Bwana Kitoko,1955.0,['Documentary'],"['nm0205843', 'nm0992040']",80.0,6.5,,,24.0,,,
tt0270865,Brasil Bom de Bola,1970.0,['Documentary'],['nm0603510'],100.0,6.4,,,8.0,,,
tt0273070,Burden of Love,1955.0,"['Comedy', 'Drama']","['nm0945522', 'nm0586227', 'nm0586227', 'nm0586227', 'nm0867391']",111.0,6.6,,,212.0,,,
tt0273131,Brille und Bombe - Bei uns liegen Sie richtig!,1967.0,['Comedy'],"['nm0858376', 'nm0905061', 'nm0917891', 'nm0161576', 'nm0902702']",87.0,7.8,,,14.0,,,
tt0273133,Broken Dolls,1999.0,['Drama'],"['nm0487519', 'nm0169374', 'nm1125076', 'nm0105727']",81.0,3.4,,,230.0,,,
